experiment_uid,material,model_uid,seed,fold,avg_rel_err,95-perc_rel_err,99-perc_rel_err,max_rel_err,start_date,end_date
fd0ea,B,b4f685fe,0,1,0.011174283687060528,0.026128921742275355,0.04193029667542829,173881.63011837006,2023-11-28 09:23:47,2023-12-01 20:42:14
fd0ea,B,370c1b1b,0,2,0.011174283687060528,0.026128921742275355,0.04193029667542829,173881.63011837006,2023-11-28 09:23:47,2023-12-01 20:42:14
fd0ea,B,f96e2544,0,3,0.011174283687060528,0.026128921742275355,0.04193029667542829,173881.63011837006,2023-11-28 09:23:47,2023-12-01 20:42:14
fd0ea,B,d4c0b308,1,0,0.010549490105604227,0.024721008549302308,0.041445898020294705,86875.31149531994,2023-11-28 22:40:45,2023-12-01 20:42:14
fd0ea,B,7a2236cb,1,1,0.010549490105604227,0.024721008549302308,0.041445898020294705,86875.31149531994,2023-11-28 22:40:45,2023-12-01 20:42:14
fd0ea,B,9627b4a1,1,2,0.010549490105604227,0.024721008549302308,0.041445898020294705,86875.31149531994,2023-11-28 22:40:45,2023-12-01 20:42:14
fd0ea,B,dce949f5,1,3,0.010549490105604227,0.024721008549302308,0.041445898020294705,86875.31149531994,2023-11-28 22:40:45,2023-12-01 20:42:14
fd0ea,B,1e21aa0e,2,0,0.010493594450973103,0.024709219028354358,0.04145852887898708,143220.75511837006,2023-11-29 12:00:08,2023-12-01 20:42:14
fd0ea,B,0dd440d1,2,1,0.010493594450973103,0.024709219028354358,0.04145852887898708,143220.75511837006,2023-11-29 12:00:08,2023-12-01 20:42:14
fd0ea,B,643a0224,2,2,0.010493594450973103,0.024709219028354358,0.04145852887898708,143220.75511837006,2023-11-29 12:00:08,2023-12-01 20:42:14
fd0ea,B,80a7152a,2,3,0.010493594450973103,0.024709219028354358,0.04145852887898708,143220.75511837006,2023-11-29 12:00:08,2023-12-01 20:42:14
fd0ea,C,cfa2f611,0,0,0.012391511022082392,0.03285237444747176,0.04789738751694579,164360.72475398006,2023-11-30 01:21:10,2023-12-01 20:42:14
fd0ea,C,460085fc,0,1,0.012391511022082392,0.03285237444747176,0.04789738751694579,164360.72475398006,2023-11-30 01:21:10,2023-12-01 20:42:14
fd0ea,C,02f89f55,0,2,0.012391511022082392,0.03285237444747176,0.04789738751694579,164360.72475398006,2023-11-30 01:21:10,2023-12-01 20:42:14
fd0ea,C,49d1b260,0,3,0.012391511022082392,0.03285237444747176,0.04789738751694579,164360.72475398006,2023-11-30 01:21:10,2023-12-01 20:42:14
fd0ea,C,90da9559,1,0,0.011567570316514437,0.031045900294081073,0.048278949261589245,179619.72475398006,2023-11-30 10:59:40,2023-12-01 20:42:14
fd0ea,C,0e31427a,1,1,0.011567570316514437,0.031045900294081073,0.048278949261589245,179619.72475398006,2023-11-30 10:59:40,2023-12-01 20:42:14
fd0ea,C,61de1402,1,2,0.011567570316514437,0.031045900294081073,0.048278949261589245,179619.72475398006,2023-11-30 10:59:40,2023-12-01 20:42:14
fd0ea,C,f1e03d56,1,3,0.011567570316514437,0.031045900294081073,0.048278949261589245,179619.72475398006,2023-11-30 10:59:40,2023-12-01 20:42:14
fd0ea,C,200ef3fb,2,0,0.011616270096147194,0.03075652405420027,0.049941020546480336,136250.72475398006,2023-11-30 20:39:31,2023-12-01 20:42:14
fd0ea,C,a6d84801,2,1,0.011616270096147194,0.03075652405420027,0.049941020546480336,136250.72475398006,2023-11-30 20:39:31,2023-12-01 20:42:14
fd0ea,C,cd155f1b,2,2,0.011616270096147194,0.03075652405420027,0.049941020546480336,136250.72475398006,2023-11-30 20:39:31,2023-12-01 20:42:14
fd0ea,C,31551fee,2,3,0.011616270096147194,0.03075652405420027,0.049941020546480336,136250.72475398006,2023-11-30 20:39:31,2023-12-01 20:42:14
fd0ea,D,5c412085,0,0,0.08940463427834623,0.3274944362042729,0.4743758210764834,868612.6441345699,2023-12-01 06:21:25,2023-12-01 20:42:14
fd0ea,D,9c979da6,0,1,0.08940463427834623,0.3274944362042729,0.4743758210764834,868612.6441345699,2023-12-01 06:21:25,2023-12-01 20:42:14
fd0ea,D,a6dd912f,0,2,0.08940463427834623,0.3274944362042729,0.4743758210764834,868612.6441345699,2023-12-01 06:21:25,2023-12-01 20:42:14
fd0ea,D,7a3c1b07,0,3,0.08940463427834623,0.3274944362042729,0.4743758210764834,868612.6441345699,2023-12-01 06:21:25,2023-12-01 20:42:14
fd0ea,D,f39505a5,1,0,0.09126022631565284,0.38209274199688187,0.6367434537652434,532794.3963967701,2023-12-01 07:26:54,2023-12-01 20:42:14
fd0ea,D,9f4b4bb8,1,1,0.09126022631565284,0.38209274199688187,0.6367434537652434,532794.3963967701,2023-12-01 07:26:54,2023-12-01 20:42:14
fd0ea,D,fb326f5f,1,2,0.09126022631565284,0.38209274199688187,0.6367434537652434,532794.3963967701,2023-12-01 07:26:54,2023-12-01 20:42:14
fd0ea,D,263a812d,1,3,0.09126022631565284,0.38209274199688187,0.6367434537652434,532794.3963967701,2023-12-01 07:26:54,2023-12-01 20:42:14
fd0ea,D,8b43e654,2,0,0.08706612605480288,0.35407421350948015,0.5721689784489509,947204.81633789,2023-12-01 08:33:17,2023-12-01 20:42:14
fd0ea,D,8df47d80,2,1,0.08706612605480288,0.35407421350948015,0.5721689784489509,947204.81633789,2023-12-01 08:33:17,2023-12-01 20:42:14
fd0ea,D,21c48bf8,2,2,0.08706612605480288,0.35407421350948015,0.5721689784489509,947204.81633789,2023-12-01 08:33:17,2023-12-01 20:42:14
fd0ea,D,88ddff91,2,3,0.08706612605480288,0.35407421350948015,0.5721689784489509,947204.81633789,2023-12-01 08:33:17,2023-12-01 20:42:14
fd0ea,E,f7f91139,0,0,0.028584104352879457,0.08799299137807703,0.16784543904430388,430213.1103703007,2023-12-01 09:39:18,2023-12-01 20:42:14
fd0ea,E,ed7586df,0,1,0.028584104352879457,0.08799299137807703,0.16784543904430388,430213.1103703007,2023-12-01 09:39:18,2023-12-01 20:42:14
fd0ea,E,99f2f125,0,2,0.028584104352879457,0.08799299137807703,0.16784543904430388,430213.1103703007,2023-12-01 09:39:18,2023-12-01 20:42:14
fd0ea,E,678c011d,0,3,0.028584104352879457,0.08799299137807703,0.16784543904430388,430213.1103703007,2023-12-01 09:39:18,2023-12-01 20:42:14
fd0ea,E,026045f2,1,0,0.026232055606889616,0.08698209510339101,0.14280283683071082,345194.79403129965,2023-12-01 13:19:46,2023-12-01 20:42:14
fd0ea,E,d274c162,1,1,0.026232055606889616,0.08698209510339101,0.14280283683071082,345194.79403129965,2023-12-01 13:19:46,2023-12-01 20:42:14
fd0ea,E,43c4b736,1,2,0.026232055606889616,0.08698209510339101,0.14280283683071082,345194.79403129965,2023-12-01 13:19:46,2023-12-01 20:42:14
fd0ea,E,48edf25c,1,3,0.026232055606889616,0.08698209510339101,0.14280283683071082,345194.79403129965,2023-12-01 13:19:46,2023-12-01 20:42:14
fd0ea,E,7e6cf9c9,2,0,0.025709508665832215,0.0801084282808907,0.1586552695590566,374822.31431557983,2023-12-01 17:00:34,2023-12-01 20:42:14
